ID,Gender,Age,Salary,Purchased
1001,Male,19,19000,No
1002,Male,35,20000,No
1003,Female,26,43000,No
1004,Female,27,57000,No
1005,Male,19,76000,No
1006,Male,27,58000,No
1007,Female,27,84000,No
1008,Female,32,150000,Yes
1009,Male,25,33000,No
1010,Female,35,65000,No
1011,Female,26,80000,No
1012,Female,26,52000,No
1013,Male,20,86000,No
1014,Male,32,18000,No
1015,Male,18,82000,No
1016,Male,29,80000,No
1017,Male,47,25000,Yes
1018,Male,45,26000,Yes
1019,Male,46,28000,Yes
1020,Female,48,29000,Yes
1021,Male,45,22000,Yes
1022,Female,47,49000,Yes
1023,Male,48,41000,Yes
1024,Female,45,22000,Yes
1025,Male,46,23000,Yes
1026,Male,47,20000,Yes
1027,Male,49,28000,Yes
1028,Female,47,30000,Yes
1029,Male,29,43000,No
1030,Male,31,18000,No
1031,Male,31,74000,No
1032,Female,27,137000,Yes
1033,Female,21,16000,No
1034,Female,28,44000,No
1035,Male,27,90000,No
1036,Male,35,27000,No
1037,Female,33,28000,No
1038,Male,30,49000,No
1039,Female,26,72000,No
1040,Female,27,31000,No
1041,Female,27,17000,No
1042,Female,33,51000,No
1043,Male,35,108000,No
1044,Male,30,15000,No
1045,Female,28,84000,No
1046,Male,23,20000,No
1047,Male,25,79000,No
1048,Female,27,54000,No
1049,Male,30,135000,Yes
1050,Female,31,89000,No
1051,Female,24,32000,No
1052,Female,18,44000,No
1053,Female,29,83000,No
1054,Female,35,23000,No
1055,Female,27,58000,No
1056,Female,24,55000,No
1057,Female,23,48000,No
1058,Male,28,79000,No
1059,Male,22,18000,No
1060,Female,32,117000,No
1061,Male,27,20000,No
1062,Male,25,87000,No
1063,Female,23,66000,No
1064,Male,32,120000,Yes
1065,Female,59,83000,No
1066,Male,24,58000,No
1067,Male,24,19000,No
1068,Female,23,82000,No
1069,Female,22,63000,No
1070,Female,31,68000,No
1071,Male,25,80000,No
1072,Female,24,27000,No
1073,Female,20,23000,No
1074,Female,33,113000,No
1075,Male,32,18000,No
1076,Male,34,112000,Yes
1077,Male,18,52000,No
1078,Female,22,27000,No
1079,Female,28,87000,No
1080,Female,26,17000,No
1081,Male,30,80000,No
1082,Male,39,42000,No
