Weight,Gender
140,Males
145,Males
160,Males
190,Males
155,Males
150,Males
190,Males
195,Males
138,Males
160,Males
155,Males
153,Males
145,Males
170,Males
175,Males
175,Males
170,Males
180,Males
135,Males
170,Males
157,Males
130,Males
185,Males
190,Males
155,Males
215,Males
150,Males
145,Males
155,Males
155,Males
150,Males
155,Males
150,Males
180,Males
160,Males
135,Males
160,Males
130,Males
155,Males
150,Males
148,Males
155,Males
150,Males
140,Males
180,Males
190,Males
145,Males
150,Males
164,Males
140,Males
142,Males
136,Males
123,Males
155,Males
140,Females
120,Females
130,Females
138,Females
121,Females
125,Females
116,Females
145,Females
150,Females
112,Females
125,Females
130,Females
120,Females
130,Females
131,Females
120,Females
118,Females
125,Females
135,Females
125,Females
118,Females
122,Females
115,Females
102,Females
115,Females
150,Females
110,Females
116,Females
108,Females
95,Females
125,Females
133,Females
110,Females
150,Females
108,Females
